,a1,a3
282,625032.1143344326,70618.67788400008
283,551727.76584866,67576.1611005369
284,604657.1145900049,81966.1638195518
285,551878.216468498,74199.2913475733
286,551878.216468498,74199.2913475733
287,493187.76515553874,67729.10160139271
288,665883.8197253635,89545.81397504428
289,689062.6089960324,96318.06985222684
290,785338.92094883,101573.49675388416
291,785338.92094883,101573.49675388416
292,642980.9915398969,73612.07617560748
293,642980.9915398969,73612.07617560748
294,767833.0299288104,72865.23436350505
295,575853.0954500043,75227.62596998487
296,575853.0954500043,75227.62596998487
297,575853.0954500043,75227.62596998487
298,800645.041628758,94414.41579901846
299,800645.041628758,94414.41579901846
300,880744.1459182214,105117.18478748205
301,898737.4009437936,103569.78962995867
302,898737.4009437936,103569.78962995867
303,898737.4009437936,103569.78962995867
304,898737.4009437936,103569.78962995867
305,898737.4009437936,103569.78962995867
306,899234.8733870941,111233.52427969301
307,792651.7873014846,94641.67723038346
308,792651.7873014846,94641.67723038346
309,792651.7873014846,94641.67723038346
310,878859.2619665058,116398.9212222127
311,878859.2619665058,116398.9212222127
312,878859.2619665058,116398.9212222127
313,878859.2619665058,116398.9212222127
314,876625.9496545768,115110.48379130694
315,534332.9688480765,62616.21178164106
316,534332.9688480765,62616.21178164106
317,534332.9688480765,62616.21178164106
318,534332.9688480765,62616.21178164106
319,534332.9688480765,62616.21178164106
320,534332.9688480765,62616.21178164106
321,473006.5585437541,55464.959661742265
322,473006.5585437541,55464.959661742265
323,774532.2809514083,91904.7034313418
324,538861.3931599206,60032.656582330426
325,914042.6703641013,111610.27971026624
326,880274.1492571323,104399.64224582093
327,880274.1492571323,104399.64224582093
328,880274.1492571323,104399.64224582093
329,893809.6731634492,106653.56371570745
330,893809.6731634492,106653.56371570745
331,893809.6731634492,106653.56371570745
332,893809.6731634492,106653.56371570745
333,893809.6731634492,106653.56371570745
334,893809.6731634492,106653.56371570745
335,893809.6731634492,106653.56371570745
336,893809.6731634492,106653.56371570745
337,893809.6731634492,106653.56371570745
338,816402.1167410647,107704.8710282482
339,816402.1167410647,107704.8710282482
340,816402.1167410647,107704.8710282482
341,816402.1167410647,107704.8710282482
342,620832.0609032456,69736.7045143028
343,620832.0609032456,69736.7045143028
344,855696.8478916548,103111.28279832852
345,806359.4127435666,97263.11606425888
346,806359.4127435666,97263.11606425888
347,806359.4127435666,97263.11606425888
348,951624.7332656337,118043.32211595144
349,806054.9028943888,94411.06945888359
350,562518.9311650413,66323.31849906735
351,824837.3689686126,87496.80300464743
352,824837.3689686126,87496.80300464743
353,824837.3689686126,87496.80300464743
354,534512.7269902627,69365.8580590842
355,610615.9683619323,66384.62908211896
356,610615.9683619323,66384.62908211896
357,610615.9683619323,66384.62908211896
358,610615.9683619323,66384.62908211896
359,566479.9260784499,64989.23798681531
360,680768.9759128933,83015.85489121388
361,596712.2749803127,76837.30620613218
362,596712.2749803127,76837.30620613218
363,391783.9060404242,51986.17813443612
364,391783.9060404242,51986.17813443612
365,391783.9060404242,51986.17813443612
366,328449.9813873323,41038.96624588167
367,328449.9813873323,41038.96624588167
368,328449.9813873323,41038.96624588167
369,328449.9813873323,41038.96624588167
370,552639.19876452,61142.0143045442
371,431679.7382909882,57321.968280554065
372,951740.8370663149,113961.06883588429
373,951740.8370663149,113961.06883588429
374,941333.2216002294,108361.73008392351
375,941333.2216002294,108361.73008392351
376,941333.2216002294,108361.73008392351
377,953008.2598071003,112605.93378900763
378,953008.2598071003,112605.93378900763
379,967167.9098817776,114228.29616357858
380,967167.9098817776,114228.29616357858
381,967167.9098817776,114228.29616357858
382,967167.9098817776,114228.29616357858
383,967167.9098817776,114228.29616357858
384,967167.9098817776,114228.29616357858
385,967167.9098817776,114228.29616357858
